120_metros => 120_metros, tag#Zu, ctag#Zu, pos#number, lemma#LN_m:120
12_de_Abril => 12_de_Abril, tag#W, ctag#W, pos#date, lemma#[??:12/4/??:??.??:??]
12_de_Diciembre => 12_de_Diciembre, tag#W, ctag#W, pos#date, lemma#[??:12/12/??:??.??:??]
14_de_Abril => 14_de_Abril, tag#W, ctag#W, pos#date, lemma#[??:14/4/??:??.??:??]
1527 => 1527, tag#Z, ctag#Z, pos#number, lemma#1527
1537 => 1537, tag#Z, ctag#Z, pos#number, lemma#1537
1622 => 1622, tag#Z, ctag#Z, pos#number, lemma#1622
1709 => 1709, tag#Z, ctag#Z, pos#number, lemma#1709
171 => 171, tag#Z, ctag#Z, pos#number, lemma#171
172 => 172, tag#Z, ctag#Z, pos#number, lemma#172
17_de_Abril => 17_de_Abril, tag#W, ctag#W, pos#date, lemma#[??:17/4/??:??.??:??]
1827 => 1827, tag#Z, ctag#Z, pos#number, lemma#1827
1841 => 1841, tag#Z, ctag#Z, pos#number, lemma#1841
1845 => 1845, tag#Z, ctag#Z, pos#number, lemma#1845
1848 => 1848, tag#Z, ctag#Z, pos#number, lemma#1848
1870 => 1870, tag#Z, ctag#Z, pos#number, lemma#1870
1.º => 1.º, tag#Z, ctag#Z, pos#number, lemma#1.º
20_de_Abril => 20_de_Abril, tag#W, ctag#W, pos#date, lemma#[??:20/4/??:??.??:??]
20_de_Febrero => 20_de_Febrero, tag#W, ctag#W, pos#date, lemma#[??:20/2/??:??.??:??]
21_de_Abril => 21_de_Abril, tag#W, ctag#W, pos#date, lemma#[??:21/4/??:??.??:??]
22_de_Abril => 22_de_Abril, tag#W, ctag#W, pos#date, lemma#[??:22/4/??:??.??:??]
23_de_Diciembre => 23_de_Diciembre, tag#W, ctag#W, pos#date, lemma#[??:23/12/??:??.??:??]
2.º => 2.º, tag#Z, ctag#Z, pos#number, lemma#2.º
3.º => 3.º, tag#Z, ctag#Z, pos#number, lemma#3.º
48 => 48, tag#Z, ctag#Z, pos#number, lemma#48
4.º => 4.º, tag#Z, ctag#Z, pos#number, lemma#4.º
54 => 54, tag#Z, ctag#Z, pos#number, lemma#54
60 => 60, tag#Z, ctag#Z, pos#number, lemma#60
65 => 65, tag#Z, ctag#Z, pos#number, lemma#65
7.324 => 7.324, tag#Z, ctag#Z, pos#number, lemma#7324
a => a, tag#SP, ctag#SP, pos#adposition, lemma#a
A => A, tag#SP, ctag#SP, pos#adposition, lemma#a
ab => ab, tag#NCFS000, ctag#NC, pos#noun, lemma#ab
abajo => abajo, tag#RG, ctag#RG, pos#adverb, lemma#abajo
abandonado => abandonado, tag#VMP00SM, ctag#VMP, pos#verb, lemma#abandonar
abandonados => abandonados, tag#VMP00PM, ctag#VMP, pos#verb, lemma#abandonar
abandonar => abandonar, tag#VMN0000, ctag#VMN, pos#verb, lemma#abandonar
Abandonaron => Abandonaron, tag#VMIS3P0, ctag#VMI, pos#verb, lemma#abandonar
abandone => abandone, tag#VMSP3S0, ctag#VMS, pos#verb, lemma#abandonar
abandones => abandones, tag#VMSP2S0, ctag#VMS, pos#verb, lemma#abandonar
abandono => abandono, tag#NCMS000, ctag#NC, pos#noun, lemma#abandono
